GEO_ID,NAME(zip),S1903_C01_001E(num_households),S1903_C03_001E(median_indome),S1903_C03_001M(income_SE)
860Z200US51360,ZCTA5 51360,3991,65529,4712
860Z200US55001,ZCTA5 55001,1179,114867,17812
860Z200US55003,ZCTA5 55003,1014,92292,17829
860Z200US55005,ZCTA5 55005,1580,99286,12498
860Z200US55006,ZCTA5 55006,1376,56768,4629
860Z200US55007,ZCTA5 55007,954,57500,8668
860Z200US55008,ZCTA5 55008,6147,76133,5201
860Z200US55009,ZCTA5 55009,3277,78697,5817
860Z200US55011,ZCTA5 55011,3817,115617,3320
860Z200US55012,ZCTA5 55012,683,81815,9253
860Z200US55013,ZCTA5 55013,2644,91500,11335
860Z200US55014,ZCTA5 55014,10394,92235,3559
860Z200US55016,ZCTA5 55016,12719,108159,5348
860Z200US55017,ZCTA5 55017,300,65333,18143
860Z200US55018,ZCTA5 55018,381,85903,12548
860Z200US55019,ZCTA5 55019,751,97902,6495
860Z200US55020,ZCTA5 55020,1373,135375,30605
860Z200US55021,ZCTA5 55021,11406,63340,6593
860Z200US55024,ZCTA5 55024,12212,107338,3724
860Z200US55025,ZCTA5 55025,9845,92675,6299
860Z200US55026,ZCTA5 55026,160,93750,25101
860Z200US55027,ZCTA5 55027,981,82171,7541
860Z200US55029,ZCTA5 55029,26,58750,15401
860Z200US55030,ZCTA5 55030,486,60962,12816
860Z200US55031,ZCTA5 55031,651,99028,10074
860Z200US55032,ZCTA5 55032,1283,99438,6668
860Z200US55033,ZCTA5 55033,11427,91376,3230
860Z200US55036,ZCTA5 55036,23,30208,8646
860Z200US55037,ZCTA5 55037,1890,52927,4743
860Z200US55038,ZCTA5 55038,8520,113509,11384
860Z200US55040,ZCTA5 55040,5107,80849,7764
860Z200US55041,ZCTA5 55041,3301,70924,5781
860Z200US55042,ZCTA5 55042,4138,161618,23558
860Z200US55043,ZCTA5 55043,1532,89435,3545
860Z200US55044,ZCTA5 55044,20177,124899,4002
860Z200US55045,ZCTA5 55045,2844,103929,15492
860Z200US55046,ZCTA5 55046,2042,88357,12353
860Z200US55047,ZCTA5 55047,956,98864,23460
860Z200US55049,ZCTA5 55049,918,80000,10307
860Z200US55051,ZCTA5 55051,3795,60194,3327
860Z200US55052,ZCTA5 55052,745,70655,7480
860Z200US55053,ZCTA5 55053,343,84792,8880
860Z200US55054,ZCTA5 55054,795,140579,20324
860Z200US55055,ZCTA5 55055,1706,58455,7747
860Z200US55056,ZCTA5 55056,5229,91229,8063
860Z200US55057,ZCTA5 55057,7818,81097,7026
860Z200US55060,ZCTA5 55060,12016,74049,3716
860Z200US55063,ZCTA5 55063,3799,64207,3184
860Z200US55065,ZCTA5 55065,470,101563,9545
860Z200US55066,ZCTA5 55066,8107,64603,4397
860Z200US55068,ZCTA5 55068,11078,113598,5182
860Z200US55069,ZCTA5 55069,1918,62583,8049
860Z200US55070,ZCTA5 55070,2787,89242,5556
860Z200US55071,ZCTA5 55071,2298,85222,7702
860Z200US55072,ZCTA5 55072,1341,46616,3421
860Z200US55073,ZCTA5 55073,1309,119188,23012
860Z200US55074,ZCTA5 55074,851,96750,7167
860Z200US55075,ZCTA5 55075,8326,71283,4875
860Z200US55076,ZCTA5 55076,9258,86862,6392
860Z200US55077,ZCTA5 55077,5283,92808,8706
860Z200US55079,ZCTA5 55079,3239,94439,4421
860Z200US55080,ZCTA5 55080,1104,90179,13123
860Z200US55082,ZCTA5 55082,13914,105207,4457
860Z200US55084,ZCTA5 55084,686,70000,12967
860Z200US55085,ZCTA5 55085,170,89167,16634
860Z200US55087,ZCTA5 55087,166,111964,19522
860Z200US55088,ZCTA5 55088,604,115833,15487
860Z200US55089,ZCTA5 55089,611,89813,12898
860Z200US55090,ZCTA5 55090,162,60962,19575
860Z200US55092,ZCTA5 55092,4178,86648,6030
860Z200US55101,ZCTA5 55101,4662,66292,8241
860Z200US55102,ZCTA5 55102,10142,64270,4041
860Z200US55103,ZCTA5 55103,5246,41101,1582
860Z200US55104,ZCTA5 55104,18023,65905,4331
860Z200US55105,ZCTA5 55105,11104,100818,7228
860Z200US55106,ZCTA5 55106,18707,56634,2619
860Z200US55107,ZCTA5 55107,5395,59819,7080
860Z200US55108,ZCTA5 55108,6585,78708,5452
860Z200US55109,ZCTA5 55109,12628,70222,5391
860Z200US55110,ZCTA5 55110,15822,89965,4628
860Z200US55111,ZCTA5 55111,95,-,**
860Z200US55112,ZCTA5 55112,17360,82197,4108
860Z200US55113,ZCTA5 55113,18225,78262,4529
860Z200US55114,ZCTA5 55114,1751,63651,9725
860Z200US55115,ZCTA5 55115,3237,123092,9133
860Z200US55116,ZCTA5 55116,12167,70036,7032
860Z200US55117,ZCTA5 55117,16654,62558,4940
860Z200US55118,ZCTA5 55118,12466,72938,6803
860Z200US55119,ZCTA5 55119,15958,66772,4735
860Z200US55120,ZCTA5 55120,2058,97097,13607
860Z200US55121,ZCTA5 55121,3761,69932,10998
860Z200US55122,ZCTA5 55122,13628,83602,5362
860Z200US55123,ZCTA5 55123,10191,123393,7837
860Z200US55124,ZCTA5 55124,21128,91936,2909
860Z200US55125,ZCTA5 55125,17239,106573,5892
860Z200US55126,ZCTA5 55126,11640,101414,6686
860Z200US55127,ZCTA5 55127,7488,108664,12785
860Z200US55128,ZCTA5 55128,11641,77327,5847
860Z200US55129,ZCTA5 55129,9981,136428,9443
860Z200US55130,ZCTA5 55130,5897,45840,4890
860Z200US55150,ZCTA5 55150,58,83750,35528
860Z200US55155,ZCTA5 55155,0,-,**
860Z200US55301,ZCTA5 55301,4436,102270,18137
860Z200US55302,ZCTA5 55302,2854,78522,5350
860Z200US55303,ZCTA5 55303,19090,92205,4552
860Z200US55304,ZCTA5 55304,16651,115111,5042
860Z200US55305,ZCTA5 55305,9979,95701,9697
860Z200US55306,ZCTA5 55306,6166,81818,6940
860Z200US55307,ZCTA5 55307,1262,69464,5996
860Z200US55308,ZCTA5 55308,3198,93917,8919
860Z200US55309,ZCTA5 55309,6920,101917,10269
860Z200US55310,ZCTA5 55310,607,62455,5712
860Z200US55311,ZCTA5 55311,13888,135471,6630
860Z200US55312,ZCTA5 55312,530,78750,10123
860Z200US55313,ZCTA5 55313,9246,82389,8687
860Z200US55314,ZCTA5 55314,421,62708,11362
860Z200US55315,ZCTA5 55315,2219,116319,8582
860Z200US55316,ZCTA5 55316,8725,104200,10100
860Z200US55317,ZCTA5 55317,8057,118598,7405
860Z200US55318,ZCTA5 55318,10940,96502,6109
860Z200US55319,ZCTA5 55319,1903,97660,9641
860Z200US55320,ZCTA5 55320,1927,90550,9720
860Z200US55321,ZCTA5 55321,1856,72402,5646
860Z200US55322,ZCTA5 55322,1403,101607,8621
860Z200US55324,ZCTA5 55324,461,75859,4201
860Z200US55325,ZCTA5 55325,1702,77500,4095
860Z200US55327,ZCTA5 55327,1825,119986,29255
860Z200US55328,ZCTA5 55328,3457,95296,11852
860Z200US55329,ZCTA5 55329,731,73348,7169
860Z200US55330,ZCTA5 55330,15212,98676,6621
860Z200US55331,ZCTA5 55331,7382,144697,10148
860Z200US55332,ZCTA5 55332,765,52292,6212
860Z200US55333,ZCTA5 55333,252,66875,11399
860Z200US55334,ZCTA5 55334,1089,58861,9431
860Z200US55335,ZCTA5 55335,666,46774,7028
860Z200US55336,ZCTA5 55336,3088,66813,7459
860Z200US55337,ZCTA5 55337,18906,77416,5835
860Z200US55338,ZCTA5 55338,428,70417,12770
860Z200US55339,ZCTA5 55339,362,83125,25151
860Z200US55340,ZCTA5 55340,3055,166953,19130
860Z200US55341,ZCTA5 55341,1154,126184,17821
860Z200US55342,ZCTA5 55342,723,58352,5608
860Z200US55343,ZCTA5 55343,12711,71659,4572
860Z200US55344,ZCTA5 55344,6850,80939,4081
860Z200US55345,ZCTA5 55345,8680,120204,9804
860Z200US55346,ZCTA5 55346,6572,123596,10703
860Z200US55347,ZCTA5 55347,11604,148322,12487
860Z200US55349,ZCTA5 55349,1482,84655,14614
860Z200US55350,ZCTA5 55350,7833,66345,7135
860Z200US55352,ZCTA5 55352,3435,103681,15241
860Z200US55353,ZCTA5 55353,1193,87232,6778
860Z200US55354,ZCTA5 55354,990,84881,9079
860Z200US55355,ZCTA5 55355,3940,61367,6163
860Z200US55356,ZCTA5 55356,2171,158137,15228
860Z200US55357,ZCTA5 55357,1124,130871,9199
860Z200US55358,ZCTA5 55358,1939,83583,8212
860Z200US55359,ZCTA5 55359,2400,118571,30597
860Z200US55360,ZCTA5 55360,1102,104365,2815
860Z200US55362,ZCTA5 55362,7250,83714,8185
860Z200US55363,ZCTA5 55363,1876,77609,6692
860Z200US55364,ZCTA5 55364,6242,103714,16855
860Z200US55366,ZCTA5 55366,208,46250,27184
860Z200US55367,ZCTA5 55367,374,73750,13204
860Z200US55368,ZCTA5 55368,737,74907,7617
860Z200US55369,ZCTA5 55369,15340,101162,4323
860Z200US55370,ZCTA5 55370,217,86250,23207
860Z200US55371,ZCTA5 55371,6376,81312,5960
860Z200US55372,ZCTA5 55372,12052,122563,7126
860Z200US55373,ZCTA5 55373,2093,84141,15664
860Z200US55374,ZCTA5 55374,5329,131779,20543
860Z200US55375,ZCTA5 55375,1353,109489,20418
860Z200US55376,ZCTA5 55376,6078,119000,11264
860Z200US55378,ZCTA5 55378,11228,115456,7011
860Z200US55379,ZCTA5 55379,16637,95602,4732
860Z200US55381,ZCTA5 55381,786,71944,11693
860Z200US55382,ZCTA5 55382,1395,82642,5105
860Z200US55384,ZCTA5 55384,1232,47117,7723
860Z200US55385,ZCTA5 55385,470,65455,7714
860Z200US55386,ZCTA5 55386,3143,165591,10669
860Z200US55387,ZCTA5 55387,5166,96210,11536
860Z200US55388,ZCTA5 55388,2132,93145,12790
860Z200US55389,ZCTA5 55389,933,77629,8948
860Z200US55390,ZCTA5 55390,1076,99519,8639
860Z200US55391,ZCTA5 55391,6557,131068,13033
860Z200US55395,ZCTA5 55395,1125,63603,13778
860Z200US55396,ZCTA5 55396,949,62056,5408
860Z200US55397,ZCTA5 55397,1102,80530,15191
860Z200US55398,ZCTA5 55398,5868,98200,8723
860Z200US55401,ZCTA5 55401,7317,106756,10324
860Z200US55402,ZCTA5 55402,415,61360,9143
860Z200US55403,ZCTA5 55403,11021,55520,6443
860Z200US55404,ZCTA5 55404,12410,37029,3047
860Z200US55405,ZCTA5 55405,8047,64504,8241
860Z200US55406,ZCTA5 55406,16397,77888,4922
860Z200US55407,ZCTA5 55407,14981,70125,3555
860Z200US55408,ZCTA5 55408,15990,64911,3997
860Z200US55409,ZCTA5 55409,4821,86061,6890
860Z200US55410,ZCTA5 55410,8389,135260,8017
860Z200US55411,ZCTA5 55411,9979,44096,5146
860Z200US55412,ZCTA5 55412,8907,54594,2530
860Z200US55413,ZCTA5 55413,6951,72354,6438
860Z200US55414,ZCTA5 55414,12403,43001,4315
860Z200US55415,ZCTA5 55415,2593,118079,24751
860Z200US55416,ZCTA5 55416,17390,93875,4131
860Z200US55417,ZCTA5 55417,10820,107586,4860
860Z200US55418,ZCTA5 55418,13878,80600,6177
860Z200US55419,ZCTA5 55419,11270,119639,8291
860Z200US55420,ZCTA5 55420,8917,66370,7188
860Z200US55421,ZCTA5 55421,12249,67955,5148
860Z200US55422,ZCTA5 55422,12332,80400,4372
860Z200US55423,ZCTA5 55423,15679,74415,2882
860Z200US55424,ZCTA5 55424,3735,206038,28837
860Z200US55425,ZCTA5 55425,4191,64205,5848
860Z200US55426,ZCTA5 55426,12014,84911,4320
860Z200US55427,ZCTA5 55427,10686,85042,9150
860Z200US55428,ZCTA5 55428,12983,61980,7527
860Z200US55429,ZCTA5 55429,10251,59120,4645
860Z200US55430,ZCTA5 55430,7796,66038,6123
860Z200US55431,ZCTA5 55431,8297,96486,4807
860Z200US55432,ZCTA5 55432,12667,68480,3269
860Z200US55433,ZCTA5 55433,13643,72999,5777
860Z200US55434,ZCTA5 55434,11832,79855,6102
860Z200US55435,ZCTA5 55435,7536,68511,7703
860Z200US55436,ZCTA5 55436,6034,122500,18822
860Z200US55437,ZCTA5 55437,8536,88186,4388
860Z200US55438,ZCTA5 55438,7293,87737,7290
860Z200US55439,ZCTA5 55439,3476,153843,18125
860Z200US55441,ZCTA5 55441,7832,90456,9270
860Z200US55442,ZCTA5 55442,5534,114630,6962
860Z200US55443,ZCTA5 55443,11900,82290,8245
860Z200US55444,ZCTA5 55444,5448,93759,7255
860Z200US55445,ZCTA5 55445,4496,92478,10801
860Z200US55446,ZCTA5 55446,10088,151194,11706
860Z200US55447,ZCTA5 55447,8857,113640,12697
860Z200US55448,ZCTA5 55448,10750,84572,3690
860Z200US55449,ZCTA5 55449,10836,109228,4045
860Z200US55450,ZCTA5 55450,6,-,**
860Z200US55454,ZCTA5 55454,3520,23634,8794
860Z200US55455,ZCTA5 55455,0,-,**
860Z200US55601,ZCTA5 55601,77,73750,57799
860Z200US55602,ZCTA5 55602,175,43125,20830
860Z200US55603,ZCTA5 55603,193,53281,8308
860Z200US55604,ZCTA5 55604,1631,66014,5412
860Z200US55605,ZCTA5 55605,271,55511,6617
860Z200US55606,ZCTA5 55606,106,57500,12890
860Z200US55607,ZCTA5 55607,83,55521,11990
860Z200US55609,ZCTA5 55609,85,69426,9974
860Z200US55612,ZCTA5 55612,233,75380,2883
860Z200US55613,ZCTA5 55613,118,60625,24343
860Z200US55614,ZCTA5 55614,1112,66364,6658
860Z200US55615,ZCTA5 55615,140,56250,18577
860Z200US55616,ZCTA5 55616,3310,67540,4985
860Z200US55702,ZCTA5 55702,190,65833,11889
860Z200US55703,ZCTA5 55703,348,61818,4250
860Z200US55704,ZCTA5 55704,445,53646,14358
860Z200US55705,ZCTA5 55705,1541,49429,6783
860Z200US55706,ZCTA5 55706,837,46850,6660
860Z200US55707,ZCTA5 55707,1202,74239,6954
860Z200US55708,ZCTA5 55708,328,49531,13521
860Z200US55709,ZCTA5 55709,1641,63016,5665
860Z200US55710,ZCTA5 55710,573,78508,7138
860Z200US55711,ZCTA5 55711,203,51563,15458
860Z200US55712,ZCTA5 55712,271,42371,9966
860Z200US55713,ZCTA5 55713,474,51014,13656
860Z200US55716,ZCTA5 55716,149,32188,24923
860Z200US55717,ZCTA5 55717,125,63125,23179
860Z200US55718,ZCTA5 55718,1168,77083,6715
860Z200US55719,ZCTA5 55719,2368,55172,12687
860Z200US55720,ZCTA5 55720,7025,57640,3465
860Z200US55721,ZCTA5 55721,1358,70482,11599
860Z200US55722,ZCTA5 55722,368,54167,21737
860Z200US55723,ZCTA5 55723,943,61193,5644
860Z200US55724,ZCTA5 55724,379,61979,6686
860Z200US55725,ZCTA5 55725,54,58750,28163
860Z200US55726,ZCTA5 55726,363,66250,14605
860Z200US55731,ZCTA5 55731,2703,54577,7530
860Z200US55732,ZCTA5 55732,668,53036,8595
860Z200US55733,ZCTA5 55733,2042,102346,9682
860Z200US55734,ZCTA5 55734,2756,61264,2339
860Z200US55735,ZCTA5 55735,694,55577,4613
860Z200US55736,ZCTA5 55736,651,50852,3776
860Z200US55738,ZCTA5 55738,232,71000,17347
860Z200US55741,ZCTA5 55741,1430,57917,6697
860Z200US55742,ZCTA5 55742,91,68594,25770
860Z200US55744,ZCTA5 55744,8114,60330,3781
860Z200US55746,ZCTA5 55746,7851,49818,5621
860Z200US55748,ZCTA5 55748,534,50909,9212
860Z200US55749,ZCTA5 55749,240,73125,8514
860Z200US55750,ZCTA5 55750,897,61118,10629
860Z200US55751,ZCTA5 55751,636,77917,9345
860Z200US55752,ZCTA5 55752,178,76250,11880
860Z200US55753,ZCTA5 55753,504,46221,3732
860Z200US55756,ZCTA5 55756,115,62969,20038
860Z200US55757,ZCTA5 55757,287,61250,14038
860Z200US55758,ZCTA5 55758,75,46528,6420
860Z200US55760,ZCTA5 55760,1234,51818,4808
860Z200US55763,ZCTA5 55763,282,65081,3465
860Z200US55764,ZCTA5 55764,221,39107,12973
860Z200US55765,ZCTA5 55765,368,56667,8919
860Z200US55767,ZCTA5 55767,1158,60978,6736
860Z200US55768,ZCTA5 55768,1219,59354,6336
860Z200US55769,ZCTA5 55769,1085,58945,3663
860Z200US55771,ZCTA5 55771,673,58162,7979
860Z200US55772,ZCTA5 55772,62,-,**
860Z200US55775,ZCTA5 55775,594,70811,12327
860Z200US55779,ZCTA5 55779,1460,87700,7569
860Z200US55780,ZCTA5 55780,85,37361,8531
860Z200US55781,ZCTA5 55781,294,66875,12488
860Z200US55782,ZCTA5 55782,240,49583,10503
860Z200US55783,ZCTA5 55783,946,72222,2606
860Z200US55784,ZCTA5 55784,63,44375,12456
860Z200US55785,ZCTA5 55785,121,48875,5141
860Z200US55786,ZCTA5 55786,123,51938,2701
860Z200US55787,ZCTA5 55787,252,57857,17185
860Z200US55790,ZCTA5 55790,863,67446,5726
860Z200US55792,ZCTA5 55792,4791,47102,4318
860Z200US55793,ZCTA5 55793,271,58750,7480
860Z200US55795,ZCTA5 55795,656,62273,14665
860Z200US55796,ZCTA5 55796,65,50208,12389
860Z200US55797,ZCTA5 55797,563,76750,5913
860Z200US55798,ZCTA5 55798,223,74063,18895
860Z200US55802,ZCTA5 55802,1297,40625,9824
860Z200US55803,ZCTA5 55803,7446,91066,5327
860Z200US55804,ZCTA5 55804,6056,93138,6014
860Z200US55805,ZCTA5 55805,4837,38486,8406
860Z200US55806,ZCTA5 55806,4369,38265,3980
860Z200US55807,ZCTA5 55807,4213,49989,5292
860Z200US55808,ZCTA5 55808,2520,48066,3983
860Z200US55810,ZCTA5 55810,3343,71101,7313
860Z200US55811,ZCTA5 55811,10925,71296,4527
860Z200US55812,ZCTA5 55812,3488,54409,9250
860Z200US55814,ZCTA5 55814,0,-,**
860Z200US55901,ZCTA5 55901,22829,79486,4602
860Z200US55902,ZCTA5 55902,11354,105130,6402
860Z200US55903,ZCTA5 55903,0,-,**
860Z200US55904,ZCTA5 55904,11465,67897,3604
860Z200US55905,ZCTA5 55905,0,-,**
860Z200US55906,ZCTA5 55906,7974,96403,4192
860Z200US55909,ZCTA5 55909,521,79250,9132
860Z200US55910,ZCTA5 55910,512,68594,8776
860Z200US55912,ZCTA5 55912,11517,57044,3859
860Z200US55917,ZCTA5 55917,1376,65769,6743
860Z200US55918,ZCTA5 55918,392,70682,9936
860Z200US55919,ZCTA5 55919,454,64615,9333
860Z200US55920,ZCTA5 55920,3095,112841,12613
860Z200US55921,ZCTA5 55921,1987,59621,5206
860Z200US55922,ZCTA5 55922,329,61875,13846
860Z200US55923,ZCTA5 55923,1742,81641,3654
860Z200US55924,ZCTA5 55924,468,72143,6371
860Z200US55925,ZCTA5 55925,418,84063,17736
860Z200US55926,ZCTA5 55926,282,85500,16019
860Z200US55927,ZCTA5 55927,1579,83920,4688
860Z200US55929,ZCTA5 55929,437,95804,10285
860Z200US55931,ZCTA5 55931,168,52500,30137
860Z200US55932,ZCTA5 55932,791,85250,8983
860Z200US55933,ZCTA5 55933,91,58250,18628
860Z200US55934,ZCTA5 55934,1437,76008,7022
860Z200US55935,ZCTA5 55935,391,76250,7023
860Z200US55936,ZCTA5 55936,707,66063,4940
860Z200US55939,ZCTA5 55939,774,65763,3759
860Z200US55940,ZCTA5 55940,1099,72969,9278
860Z200US55941,ZCTA5 55941,485,58229,10985
860Z200US55943,ZCTA5 55943,1194,59271,4667
860Z200US55944,ZCTA5 55944,2867,86250,9765
860Z200US55945,ZCTA5 55945,607,73021,8652
860Z200US55946,ZCTA5 55946,1355,70234,7875
860Z200US55947,ZCTA5 55947,3185,74558,4536
860Z200US55949,ZCTA5 55949,771,66985,7446
860Z200US55950,ZCTA5 55950,53,39464,15171
860Z200US55951,ZCTA5 55951,576,57500,12330
860Z200US55952,ZCTA5 55952,900,86042,8254
860Z200US55953,ZCTA5 55953,343,52188,10445
860Z200US55954,ZCTA5 55954,524,64000,4050
860Z200US55955,ZCTA5 55955,942,115833,10967
860Z200US55956,ZCTA5 55956,866,82353,8284
860Z200US55957,ZCTA5 55957,298,67500,13510
860Z200US55959,ZCTA5 55959,867,58295,13114
860Z200US55960,ZCTA5 55960,1188,107955,6697
860Z200US55961,ZCTA5 55961,183,78542,14011
860Z200US55962,ZCTA5 55962,324,59063,9585
860Z200US55963,ZCTA5 55963,2209,82847,9741
860Z200US55964,ZCTA5 55964,1743,67420,9832
860Z200US55965,ZCTA5 55965,978,56125,7538
860Z200US55967,ZCTA5 55967,352,92813,9604
860Z200US55968,ZCTA5 55968,73,53125,16052
860Z200US55969,ZCTA5 55969,407,81484,5868
860Z200US55970,ZCTA5 55970,397,78125,11177
860Z200US55971,ZCTA5 55971,1114,68561,4445
860Z200US55972,ZCTA5 55972,2013,91715,9545
860Z200US55973,ZCTA5 55973,97,78750,24063
860Z200US55974,ZCTA5 55974,968,54338,4827
860Z200US55975,ZCTA5 55975,1779,70625,8589
860Z200US55976,ZCTA5 55976,3175,84346,5409
860Z200US55977,ZCTA5 55977,67,57813,11914
860Z200US55979,ZCTA5 55979,368,76500,16198
860Z200US55981,ZCTA5 55981,1655,65096,10910
860Z200US55982,ZCTA5 55982,251,128125,51035
860Z200US55983,ZCTA5 55983,699,75085,11059
860Z200US55985,ZCTA5 55985,657,72292,7260
860Z200US55987,ZCTA5 55987,14273,53496,3580
860Z200US55990,ZCTA5 55990,397,69844,10659
860Z200US55991,ZCTA5 55991,603,85917,5711
860Z200US55992,ZCTA5 55992,2334,73056,24035
860Z200US56001,ZCTA5 56001,19459,59759,3559
860Z200US56003,ZCTA5 56003,6307,76484,6532
860Z200US56007,ZCTA5 56007,9011,55450,4274
860Z200US56009,ZCTA5 56009,577,73487,5005
860Z200US56010,ZCTA5 56010,513,66625,10720
860Z200US56011,ZCTA5 56011,3425,91661,9070
860Z200US56013,ZCTA5 56013,2002,53777,5291
860Z200US56014,ZCTA5 56014,282,47500,18303
860Z200US56016,ZCTA5 56016,378,68750,10796
860Z200US56017,ZCTA5 56017,720,85081,12371
860Z200US56019,ZCTA5 56019,344,58333,5360
860Z200US56020,ZCTA5 56020,39,63750,30446
860Z200US56021,ZCTA5 56021,449,83646,9864
860Z200US56022,ZCTA5 56022,40,55000,31350
860Z200US56023,ZCTA5 56023,222,69583,9196
860Z200US56024,ZCTA5 56024,1239,80739,7613
860Z200US56025,ZCTA5 56025,193,75893,6138
860Z200US56026,ZCTA5 56026,762,80313,10231
860Z200US56027,ZCTA5 56027,294,44674,6753
860Z200US56028,ZCTA5 56028,464,84167,10378
860Z200US56029,ZCTA5 56029,270,56875,8841
860Z200US56030,ZCTA5 56030,7,41875,19674
860Z200US56031,ZCTA5 56031,5213,54558,10073
860Z200US56032,ZCTA5 56032,145,54688,23942
860Z200US56033,ZCTA5 56033,160,57955,8452
860Z200US56034,ZCTA5 56034,159,74271,14333
860Z200US56035,ZCTA5 56035,187,56964,13395
860Z200US56036,ZCTA5 56036,756,65625,6332
860Z200US56037,ZCTA5 56037,659,73295,22521
860Z200US56039,ZCTA5 56039,359,74519,6321
860Z200US56041,ZCTA5 56041,423,75208,8614
860Z200US56042,ZCTA5 56042,334,69375,21932
860Z200US56043,ZCTA5 56043,175,72841,10404
860Z200US56044,ZCTA5 56044,774,95104,6470
860Z200US56045,ZCTA5 56045,367,64375,5290
